seller_issuer_id,servicer_from,issuer_id,servicer_to,transition_month,n_loans,total_upb,frac_seller_n,frac_seller_upb,frac_buyer_n,frac_buyer_upb
4215,NBKC BANK,4159,PINGORA LOAN SERVICING  LLC.,201505,210,0.0,0.06515668631709587,0.0,0.0027377972465581976,0.0
4172,AMWEST FUNDING CORP.,4159,PINGORA LOAN SERVICING  LLC.,201505,199,0.0,0.022052304964539006,0.0,0.00259438881935753,0.0
4075,DIRECT MORTGAGE CORP.,4086,SELENE FINANCE LP,201505,178,32853031.19,0.4258373205741627,1.0,0.4405940594059406,0.4669268992930797
4274,RUOFF MORTGAGE COMPANY  INC.,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201505,168,0.0,0.5544554455445545,0.0,0.006185567010309278,0.0
4097,MICHIGAN MUTUAL  INC.,4159,PINGORA LOAN SERVICING  LLC.,201505,149,0.0,0.05605718585402558,0.0,0.0019425323320817688,0.0
4119,NORCOM MORTGAGE,4159,PINGORA LOAN SERVICING  LLC.,201505,141,0.0,0.2968421052631579,0.0,0.001838235294117647,0.0
3345,FLAGSTAR BANK  N.A.,3590,MATRIX FINANCIAL SERVICES CORPORATION,201505,130,0.0,0.0028049885642773918,0.0,0.0017691407419504095,0.0
3663,M&T BANK,4150,LAKEVIEW LOAN SERVICING  LLC,201505,130,0.0,0.002561677307480098,0.0,0.000496877317168258,0.0
4138,CORNERSTONE CAPITAL BANK  SSB,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201505,124,0.0,0.027115678985348786,0.0,0.004565537555228277,0.0
4270,FIRST CALIFORNIA MORTGAGE COMPANY,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201505,111,0.0,0.11935483870967742,0.0,0.004086892488954345,0.0
4285,AMCAP MORTGAGE LTD,4159,PINGORA LOAN SERVICING  LLC.,201505,100,0.0,0.8333333333333334,0.0,0.0013037129745515227,0.0
4114,RIGHT START MORTGAGE  INC.,4159,PINGORA LOAN SERVICING  LLC.,201505,75,0.0,0.336322869955157,0.0,0.000977784730913642,0.0
4251,HELLO MORTGAGE  INC.,4159,PINGORA LOAN SERVICING  LLC.,201505,65,0.0,0.5803571428571429,0.0,0.0008474134334584898,0.0
1990,CLICK N' CLOSE  INC.,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201505,56,0.0,0.004949619939897472,0.0,0.002061855670103093,0.0
4268,BANK OF MANHATTAN NA,4150,LAKEVIEW LOAN SERVICING  LLC,201505,55,19673735.93,1.0,1.0,0.00021021732649426298,0.0005464562134502138
4105,MOUNTAIN WEST FINANCIAL  LLC,4159,PINGORA LOAN SERVICING  LLC.,201505,47,0.0,0.007936507936507936,0.0,0.0006127450980392157,0.0
3541,NVR MORTGAGE FINANCE  INC.,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201505,45,0.0,1.0,NaN,0.0016568483063328424,0.0
4050,STANDARD PACIFIC MORTGAGE  INC.,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201505,35,0.0,0.06172839506172839,0.0,0.001288659793814433,0.0
1510,FIRST CITIZENS BANK AND TRUST COMPANY  INC.,4334,FIRST-CITIZENS BANK & TRUST COMPANY,201505,22,199949.26,1.0,1.0,1.0,1.0
4207,MORTGAGE SERVICES III  LLC,4092,PHH MORTGAGE CORPORATION,201505,9,0.0,1.0,NaN,0.000054242354841431513,0.0
4245,TOTAL MORTGAGE SERVICES  LLC,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201505,5,0.0,0.16666666666666666,0.0,0.0001840942562592047,0.0
4159,PINGORA LOAN SERVICING  LLC.,4097,MICHIGAN MUTUAL  INC.,201505,3,0.0,0.00003910934974187829,0.0,0.0011956954962136308,0.0
4159,PINGORA LOAN SERVICING  LLC.,4178,CMG MORTGAGE  INC.,201505,1,348951.05,0.000013036449913959431,0.000039879272875233594,0.00007234319612240469,0.00012531660519619586
4180,LOANDEPOT.COM LLC,4159,PINGORA LOAN SERVICING  LLC.,201505,1,0.0,0.000025582644733812582,0.0,0.000013037129745515227,0.0
3941,EVERBANK  NATIONAL ASSOCIATION,4085,DITECH FINANCIAL LLC,201506,56681,4391530563.66,0.9397184873252981,0.9100627859702207,0.6516780298239765,0.6613988487708917
3975,JP MORGAN CHASE BANK N.A.,4094,PENNYMAC LOAN SERVICES  LLC,201506,46261,7160300500.25,0.04845839435020437,0.05723072686873142,0.10375538839023384,0.11307163584457168
3345,FLAGSTAR BANK  N.A.,4150,LAKEVIEW LOAN SERVICING  LLC,201506,22910,4246403668.78,0.4783879724368344,0.7015641264906117,0.08075204083071327,0.10628532624513087
3963,ORIENTAL BANK,3982,ORIENTAL BANK,201506,5277,660021670.77,0.7711530030688295,0.8234178467753326,0.35910173528411027,0.3848240490602839
2768,GUARANTY BANK C/O FDIC,4150,LAKEVIEW LOAN SERVICING  LLC,201506,3186,457568906.40000004,0.8253886010362694,0.8328618443875196,0.011229856049177324,0.01145271723786073
4178,CMG MORTGAGE  INC.,4159,PINGORA LOAN SERVICING  LLC.,201506,1936,0.0,0.12475030607642244,0.0,0.023494860499265784,0.0
4073,NEW DAY FINANCIAL  LLC,3871,DBA FREEDOM HOME MORTGAGE CORP,201506,1337,172045839.02,0.4518418384589388,1.0,0.006269695378151261,0.006090780165234418
4269,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4085,DITECH FINANCIAL LLC,201506,924,0.0,0.16470588235294117,0.0,0.010623498166181864,0.0
4196,MOVEMENT MORTGAGE LLC,4052,NATIONSTAR MORTGAGE  LLC,201506,769,0.0,0.6424394319131161,0.0,0.0016350083132412286,0.0
3833,DHI MORTGAGE COMPANY  LTD.,4159,PINGORA LOAN SERVICING  LLC.,201506,699,0.0,0.8984575835475579,NaN,0.008482906760840282,0.0
4186,PODIUM MORTGAGE CAPITAL LLC,4085,DITECH FINANCIAL LLC,201506,666,0.0,0.1260170293282876,0.0,0.007657196730170045,0.0
2397,PHH MORTGAGE CORPORATION,4159,PINGORA LOAN SERVICING  LLC.,201506,538,0.0,0.0045411190735441835,0.0,0.006529046977585224,0.0
4269,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4158,ROUNDPOINT MORTGAGE SERVICING CORPORATION,201506,530,0.0,0.0944741532976827,0.0,0.01790903561532743,0.0
