servicer_from,servicer_to,n_loans,total_upb,transition_month,frac_seller_n,frac_seller_upb,frac_buyer_n,frac_buyer_upb
"AURORA FINANCIAL GROUP, INC.",ROUNDPOINT MORTGAGE SERVICING CORPORATION,2,605758.63,201908,0.00031670625494853525,0.00006938004780619293,0.00032200933827080985,0.000051004453631565696
"LOANDEPOT.COM, LLC","PINGORA LOAN SERVICING, LLC",1,543000.0,201908,0.0001088020890001088,0.0000994357882187154,0.00001747243723026925,0.000013321800061308575
ARVEST CENTRAL MORTGAGE COMPANY,SUMMIT FUNDING INC.,1,223000.0,201908,0.00008145975887911372,0.000012869569220270855,0.016666666666666666,0.0014678421497567584
AMERIFIRST FINANCIAL CORPORATION,"PINGORA LOAN SERVICING, LLC",1,251993.2,201908,0.009523809523809525,0.0067859591831217255,0.00001747243723026925,6.182326016960118e-6
"PRIMARY RESIDENTIAL MORTGAGE, INC.","PINGORA LOAN SERVICING, LLC",1,207000.0,201908,0.004739336492890996,0.00032250850755194513,0.00001747243723026925,5.0784762664657e-6
"PINGORA LOAN SERVICING, LLC",AMERIFIRST FINANCIAL CORPORATION,1,170000.0,201908,0.00002212781023189945,3.957502658179112e-6,0.005376344086021506,0.0035308279663640533
THE BANK OF CANTON,BANK OF CANTON,1,199000.0,201908,1.0,0.5356771135488705,0.5,0.23275166586741616
"PINGORA LOAN SERVICING, LLC","LOANDEPOT.COM, LLC",1,279981.19,201908,0.00002212781023189945,6.487795163868716e-6,0.00011289230074508918,0.0000741896719372431
"CMC FUNDING, INC.",NORTHPOINTE BANK,1,91000.0,201908,0.00008170602173380178,0.000031892075327969996,0.00398406374501992,0.0005833695970085119
MATRIX FINANCIAL SERVICE CORP,"CHERRY CREEK MORTGAGE CO., INC.",1,165641.4,201908,0.00005217028380634391,3.3200406677910193e-6,1.0,0.2702460665572063
"PINGORA LOAN SERVICING, LLC","PRIMARY RESIDENTIAL MORTGAGE, INC.",1,338000.0,201908,0.00002212781023189945,7.845575445162099e-6,0.004098360655737705,0.0005348215399024239
"THRIVE MORTGAGE, LLC",ROUNDPOINT MORTGAGE SERVICING CORPORATION,1,354416.47,201908,1.0,1.0,0.00016100466913540493,0.00002984161927726592
"PINGORA LOAN SERVICING, LLC","FLAGSTAR BANK, FSB",1,280530.76,201908,0.00002212781023189945,6.5009521244603815e-6,0.00009124920156948626,0.0000873496076170322
